BAD,LOAN,LOANDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION
1.0,2400.0,1800.0,,CarImp,Mgr,22.0,,2.0,121.73333333,0.0,10.0,,2018-01-30,lynchburg,Virginia,South Atlantic,South
1.0,2400.0,,1718.0,CarImp,Other,,0.0,0.0,14.566666667,3.0,4.0,,2019-02-21,lincolnton,Georgia,South Atlantic,South
1.0,2400.0,3486.3,4747.1,CarImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,2018-08-27,louisville,Georgia,South Atlantic,South
0.0,2400.0,9844.9,11719.5,CarImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,2020-03-16,ewell,Maryland,South Atlantic,South
1.0,2500.0,1500.0,2020.0,CarImp,,18.0,0.0,0.0,136.06666667,1.0,19.0,,2021-09-19,louisville,Mississippi,East South Central,South
1.0,2500.0,2511.6,3635.0,CarImp,Other,10.0,1.0,2.0,276.96666667,0.0,9.0,,2017-05-03,hermosa beach,California,Pacific,West
0.0,2500.0,722.9,4451.6,CarImp,Self,,0.0,0.0,208.0,0.0,12.0,,2017-10-09,darlington,South Carolina,South Atlantic,South
0.0,2500.0,7140.8,7860.0,CarImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,,2019-01-15,helper,Utah,Mountain,West
1.0,2800.0,5079.5,6310.0,CarImp,Self,26.0,2.0,15.0,145.63333333,3.0,45.0,,2021-11-02,oceano,California,Pacific,West
1.0,2800.0,400.0,6085.0,CarImp,Other,16.0,4.0,0.0,112.63333333,2.0,9.0,,2020-05-28,monroe,North Carolina,South Atlantic,South
1.0,2900.0,7860.0,11300.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33333333,2.0,26.0,,2021-04-08,columbia,South Carolina,South Atlantic,South
0.0,2900.0,10394.9,11250.5,CarImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286,2019-08-26,hopkinsville,Kentucky,East South Central,South
0.0,2900.0,10437.3,12070.2,CarImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,2019-11-14,butler,Kentucky,East South Central,South
1.0,2900.0,775.0,6799.6,CarImp,Other,16.0,3.0,0.0,122.20466276,2.0,8.0,36.211347998,2017-11-21,highland,Indiana,East North Central,Midwest
1.0,2900.0,6196.2,7091.5,DebtCon,Mgr,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,2020-09-07,chandler,Arizona,Mountain,West
0.0,3000.0,10457.0,12172.9,CarImp,Office,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267,2021-04-04,odem,Texas,West South Central,South
1.0,3000.0,700.0,2030.0,CarImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,,2017-12-13,ely,Nevada,Mountain,West
1.0,3000.0,,880.0,CarImp,Other,2.0,0.0,1.0,77.766666667,0.0,3.0,,2018-02-03,montclair,New Jersey,Middle Atlantic,Northeast
1.0,3000.0,,3300.0,CarImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,,2019-12-27,williston,Florida,South Atlantic,South
1.0,3000.0,11982.6,19350.0,CarImp,Other,8.0,0.0,0.0,130.03335846,0.0,27.0,,2018-09-02,woodbridge,Virginia,South Atlantic,South
1.0,3000.0,2000.0,2975.0,DebtCon,Other,2.0,0.0,0.0,187.06666667,0.0,12.0,,2019-05-20,corvallis,Oregon,Pacific,West
1.0,3000.0,,1450.0,CarImp,Other,3.0,0.0,0.0,9.3,14.0,2.0,,2019-06-25,mattapoisett,Massachusetts,New England,Northeast
1.0,3000.0,,1410.0,CarImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,,2019-11-24,lodi,California,Pacific,West
1.0,3000.0,4700.0,8270.0,CarImp,ProfExe,10.0,0.0,1.0,262.16666667,5.0,26.0,,2018-03-29,celina,Ohio,East North Central,Midwest
1.0,3000.0,3454.2,4590.0,CarImp,Mgr,8.5,0.0,2.0,62.366666667,0.0,10.0,,2019-06-11,orem,Utah,Mountain,West
0.0,3000.0,5800.0,7150.0,CarImp,Mgr,10.0,,2.0,211.93333333,0.0,25.0,,2020-11-06,hidalgo,Texas,West South Central,South
0.0,3000.0,4700.0,5640.0,CarImp,Office,21.0,0.0,0.0,201.86666667,0.0,20.0,,2017-04-16,north rose,New York,Middle Atlantic,Northeast
1.0,3100.0,3958.9,3610.0,CarImp,Other,1.5,0.0,0.0,153.16666667,1.0,14.0,,2019-03-08,montclair,New Jersey,Middle Atlantic,Northeast
0.0,3100.0,,7040.0,,,,,,,,,,2017-05-24,corvallis,Oregon,Pacific,West
0.0,3200.0,6784.8,7456.6,CarImp,Mgr,10.0,,1.0,206.42660206,0.0,25.0,40.115677278,2018-03-20,waxahachie,Texas,West South Central,South
1.0,3200.0,4860.3,6100.0,CarImp,ProfExe,28.0,0.0,4.0,122.03333333,1.0,25.0,,2019-02-06,los angeles,California,Pacific,West
1.0,3200.0,2720.0,4083.4,CarImp,Other,,0.0,0.0,298.13156403,0.0,7.0,35.553538789,2017-04-25,willis,Texas,West South Central,South
1.0,3200.0,5400.0,6485.0,CarImp,Other,1.0,0.0,0.0,121.86666667,3.0,21.0,,2018-07-17,huntington,Indiana,East North Central,Midwest
0.0,3200.0,7486.4,8726.6,CarImp,ProfExe,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351,2020-01-09,west orange,New Jersey,Middle Atlantic,Northeast
1.0,3200.0,2315.9,,CarImp,Mgr,20.0,,2.0,117.80574784,0.0,9.0,0.5244992154,2019-06-22,marion,Indiana,East North Central,Midwest
1.0,3300.0,12654.1,13452.7,CarImp,Sales,9.0,1.0,0.0,139.0,0.0,36.0,,2018-05-17,dewey,Arizona,Mountain,West
1.0,3300.0,13051.8,16431.7,DebtCon,Other,9.0,0.0,6.0,192.28914897,0.0,33.0,35.73055919,2018-07-10,midlothian,Virginia,South Atlantic,South
1.0,3400.0,3700.0,5200.0,CarImp,Office,2.0,0.0,1.0,183.29991561,0.0,6.0,,2021-07-15,hermosa beach,California,Pacific,West
1.0,3500.0,2320.0,3866.6,CarImp,Other,11.0,0.0,0.0,162.36666667,0.0,14.0,,2020-05-21,fowler,Colorado,Mountain,West
1.0,3500.0,1940.0,2049.4,CarImp,Other,5.0,0.0,0.0,95.933333333,0.0,9.0,,2018-11-17,hamilton,Virginia,South Atlantic,South
1.0,3600.0,6158.4,6180.0,CarImp,ProfExe,10.0,,,,,,,2018-07-23,lindsborg,Kansas,West North Central,Midwest
1.0,3600.0,4190.0,5249.0,CarImp,Mgr,3.0,0.0,0.0,72.033333333,2.0,4.0,,2020-06-30,buford,Georgia,South Atlantic,South
0.0,3600.0,8370.0,11180.0,CarImp,ProfExe,6.0,0.0,0.0,192.73333333,1.0,28.0,,2018-03-25,de soto,Missouri,West North Central,Midwest
0.0,3600.0,6132.7,7648.4,CarImp,Mgr,9.0,,2.0,202.51077515,0.0,25.0,41.516389699,2020-06-29,west lafayette,Indiana,East North Central,Midwest
0.0,3600.0,10069.3,11474.3,CarImp,Office,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382,2020-04-13,mount dora,Florida,South Atlantic,South
1.0,3600.0,4850.7,6100.0,DebtCon,Office,13.0,1.0,4.0,97.4,0.0,17.0,,2017-07-21,hephzibah,Georgia,South Atlantic,South
0.0,3600.0,5233.7,6398.9,CarImp,Office,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508,2018-02-20,north royalton,Ohio,East North Central,Midwest
1.0,3700.0,1785.7,2114.4,CarImp,Other,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518,2017-09-14,westminster,California,Pacific,West
1.0,3800.0,1913.5,9769.2,CarImp,Mgr,1.6,1.0,6.0,252.63333333,1.0,25.0,,2018-01-27,marthasville,Missouri,West North Central,Midwest
0.0,3800.0,5118.0,6345.9,CarImp,Office,20.0,0.0,0.0,203.75153358,0.0,20.0,20.067042051,2017-07-24,hamlin,Texas,West South Central,South
0.0,3800.0,,7318.9,,,,,,,,,22.253949156,2019-09-06,monroe,New York,Middle Atlantic,Northeast
0.0,3800.0,1154.3,4604.5,CarImp,Self,,0.0,0.0,204.64799167,0.0,11.0,42.173165882,2017-05-23,bremerton,Washington,Pacific,West
1.0,3900.0,2989.6,4596.0,CarImp,Other,11.0,0.0,0.0,146.12324219,0.0,14.0,24.478881191,2017-09-17,de witt,Nebraska,West North Central,Midwest
1.0,3900.0,1450.0,2209.2,CarImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,,2018-06-25,cedarburg,Wisconsin,East North Central,Midwest
0.0,3900.0,5282.5,6300.0,DebtCon,ProfExe,8.0,0.0,4.0,171.66666667,1.0,31.0,,2021-06-17,hibbing,Minnesota,West North Central,Midwest
0.0,3900.0,10214.3,11874.2,CarImp,Office,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089,2021-11-27,muskegon,Michigan,East North Central,Midwest
1.0,3900.0,2120.0,3900.0,DebtCon,Mgr,4.0,0.0,1.0,86.566666667,2.0,14.0,,2017-09-15,hingham,Massachusetts,New England,Northeast
0.0,4000.0,10516.4,11277.4,CarImp,Office,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055,2017-04-07,owenton,Kentucky,East South Central,South
0.0,4000.0,5454.3,6177.7,CarImp,Office,21.0,0.0,0.0,205.58668003,0.0,19.0,21.806563464,2017-11-26,chesterfield,Missouri,West North Central,Midwest
1.0,4000.0,,8060.9,CarImp,Other,1.5,0.0,2.0,126.53333333,3.0,12.0,,2020-11-11,chester,Massachusetts,New England,Northeast
1.0,4000.0,2657.2,3196.0,CarImp,Office,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948,2020-01-11,mcminnville,Tennessee,East South Central,South
1.0,4000.0,1700.0,5201.2,CarImp,ProfExe,22.0,3.0,1.0,85.333333333,1.0,9.0,,2017-01-12,ocean springs,Mississippi,East South Central,South
1.0,4000.0,2956.2,3720.0,DebtCon,Other,6.0,0.0,0.0,92.133333333,1.0,26.0,,2019-11-12,westminster,California,Pacific,West
1.0,4000.0,4170.0,7672.5,CarImp,Other,0.5,0.0,3.0,136.13333333,0.0,15.0,,2018-02-11,holland,Michigan,East North Central,Midwest
1.0,4000.0,5800.0,6944.0,CarImp,Other,3.5,0.0,1.0,168.66666667,0.0,18.0,,2020-03-16,hazelwood,Missouri,West North Central,Midwest
1.0,4000.0,570.0,1800.0,DebtCon,Other,,0.0,0.0,12.2,0.0,17.0,,2020-08-29,nyssa,Oregon,Pacific,West
1.0,4000.0,4500.0,5835.0,CarImp,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,,2017-02-08,waymart,Pennsylvania,Middle Atlantic,Northeast
1.0,4000.0,700.0,1602.0,CarImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,,2017-11-21,hiddenite,North Carolina,South Atlantic,South
0.0,4000.0,6600.0,7905.0,CarImp,Other,1.8,2.0,0.0,279.0,1.0,6.0,,2018-06-08,hartwell,Georgia,South Atlantic,South
0.0,4000.0,,4576.0,CarImp,,0.0,0.0,0.0,,0.0,0.0,,2020-06-11,hawaiian gardens,California,Pacific,West
0.0,4000.0,6200.0,7800.0,CarImp,Other,4.0,0.0,0.0,109.56666667,0.0,15.0,,2021-06-24,chapel hill,North Carolina,South Atlantic,South
0.0,4000.0,6424.0,6399.0,CarImp,Sales,5.0,2.0,0.0,160.3,1.0,23.0,,2018-07-15,maricopa,Arizona,Mountain,West
1.0,4000.0,7400.0,9300.0,CarImp,ProfExe,2.6,1.0,3.0,186.63333333,,9.0,,2019-06-20,hampstead,Maryland,South Atlantic,South
1.0,4000.0,5500.0,5900.0,DebtCon,Other,12.0,2.0,0.0,146.1,0.0,22.0,,2017-09-05,hinckley,Ohio,East North Central,Midwest
0.0,4000.0,6762.5,8069.8,CarImp,Mgr,11.0,,1.0,212.34930388,0.0,25.0,39.128717628,2019-06-01,mountain home,Idaho,Mountain,West
0.0,4000.0,6753.3,7186.5,CarImp,Mgr,10.0,,2.0,227.79298841,0.0,25.0,39.166328703,2019-01-31,york,Nebraska,West North Central,Midwest
1.0,4100.0,,1913.2,CarImp,Other,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904,2017-01-03,wayland,Michigan,East North Central,Midwest
1.0,4100.0,5850.0,6500.0,CarImp,Other,8.0,1.0,2.0,63.933333333,2.0,15.0,,2018-02-02,horsham,Pennsylvania,Middle Atlantic,Northeast
0.0,4100.0,5799.2,6379.7,DebtCon,ProfExe,7.0,0.0,4.0,165.50503695,1.0,31.0,22.27817437,2020-10-21,harvey,Illinois,East North Central,Midwest
0.0,4200.0,5654.4,5921.8,CarImp,Office,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425,2017-03-12,watertown,New York,Middle Atlantic,Northeast
1.0,4200.0,3480.0,5022.5,CarImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,,2020-09-12,west palm beach,Florida,South Atlantic,South
0.0,4200.0,6770.0,7700.0,DebtCon,Sales,4.0,0.0,0.0,128.83333333,0.0,31.0,,2020-11-12,maplewood,New Jersey,Middle Atlantic,Northeast
0.0,4200.0,4400.0,5508.5,DebtCon,,6.0,,1.0,75.433333333,,16.0,,2020-07-03,hemet,California,Pacific,West
0.0,4200.0,6627.2,8295.3,CarImp,Other,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911,2021-04-23,flagstaff,Arizona,Mountain,West
0.0,4200.0,5021.6,5854.1,CarImp,Office,19.0,0.0,0.0,209.87130224,0.0,19.0,20.20803267,2020-02-06,liverpool,New York,Middle Atlantic,Northeast
0.0,4300.0,7120.6,7869.8,DebtCon,Sales,3.0,0.0,0.0,129.93286902,0.0,31.0,34.181376516,2019-07-28,hobe sound,Florida,South Atlantic,South
0.0,4300.0,6881.5,7985.2,CarImp,Other,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152,2019-02-23,whitman,Massachusetts,New England,Northeast
0.0,4300.0,7202.1,8002.7,CarImp,Other,2.0,2.0,0.0,263.97030029,0.0,5.0,36.432093937,2019-04-20,oakland,Maryland,South Atlantic,South
0.0,4400.0,5396.9,6386.9,DebtCon,ProfExe,7.0,0.0,3.0,162.39001067,0.0,30.0,23.581079239,2020-12-03,live oak,Florida,South Atlantic,South
0.0,4400.0,,6025.0,,,,,,,,,,2020-07-08,wildomar,California,Pacific,West
1.0,4400.0,5309.1,6407.4,DebtCon,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.158084834,2020-12-31,mason city,Iowa,West North Central,Midwest
0.0,4500.0,6612.7,7908.7,CarImp,Other,4.0,1.0,0.0,81.349065098,0.0,15.0,40.70530876,2017-06-25,oradell,New Jersey,Middle Atlantic,Northeast
0.0,4500.0,,7718.2,,,,,,,,,25.227252904,2018-01-13,woodbridge,California,Pacific,West
1.0,4500.0,3900.0,6600.0,CarImp,Other,1.0,0.0,0.0,170.36666667,1.0,19.0,,2018-04-13,white plains,New York,Middle Atlantic,Northeast
0.0,4500.0,7108.2,7924.7,CarImp,Other,4.0,0.0,0.0,118.76041007,0.0,14.0,41.421110521,2021-05-11,north rose,New York,Middle Atlantic,Northeast
0.0,4500.0,,4904.4,CarImp,,0.0,0.0,0.0,,0.0,0.0,11.652738796,2017-08-14,okanogan,Washington,Pacific,West
1.0,4500.0,5700.0,,CarImp,Other,5.0,,,222.6,1.0,13.0,,2021-05-13,mohnton,Pennsylvania,Middle Atlantic,Northeast
1.0,4500.0,3418.4,4600.0,CarImp,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,,2019-07-10,himrod,New York,Middle Atlantic,Northeast
1.0,4500.0,6651.7,8700.0,DebtCon,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,,2018-12-31,hope mills,North Carolina,South Atlantic,South
0.0,4500.0,4550.0,5000.0,CarImp,Other,6.0,0.0,0.0,86.166666667,0.0,18.0,,2019-01-28,wichita falls,Texas,West South Central,South
1.0,4500.0,11800.0,14687.0,CarImp,ProfExe,4.5,2.0,0.0,203.86666667,1.0,20.0,,2018-07-14,alexander city,Alabama,East South Central,South
1.0,4500.0,9000.0,10580.0,CarImp,Other,6.0,2.0,3.0,80.1,3.0,10.0,,2018-10-16,arvada,Colorado,Mountain,West
0.0,4700.0,6791.3,9720.5,,Mgr,2.0,0.0,0.0,142.82439151,0.0,24.0,35.226997192,2018-11-20,wayzata,Minnesota,West North Central,Midwest
0.0,4700.0,7185.5,8856.6,CarImp,Other,2.0,2.0,0.0,283.95953809,0.0,5.0,36.475473283,2017-11-02,neptune,New Jersey,Middle Atlantic,Northeast
0.0,4700.0,5391.8,5951.1,DebtCon,,6.0,,0.0,54.13647743,,15.0,34.416507811,2018-05-21,new hartford,New York,Middle Atlantic,Northeast
1.0,4700.0,4910.0,5823.8,CarImp,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,,2021-07-07,murrells inlet,South Carolina,South Atlantic,South
0.0,4700.0,8802.6,11550.6,CarImp,ProfExe,6.0,0.0,0.0,182.24833156,0.0,27.0,29.20902258,2018-11-24,craig,Colorado,Mountain,West
1.0,4700.0,2690.0,4500.0,CarImp,ProfExe,9.0,1.0,2.0,90.466666667,1.0,16.0,,2017-09-12,wilmington,California,Pacific,West
0.0,4800.0,6731.7,9719.1,,Mgr,3.0,0.0,0.0,137.31972481,0.0,23.0,34.275293777,2017-04-12,hermosa beach,California,Pacific,West
0.0,4800.0,5606.7,6310.2,DebtCon,ProfExe,9.0,0.0,3.0,160.14631128,1.0,30.0,21.583760121,2017-02-04,nogales,Arizona,Mountain,West
0.0,4800.0,8048.2,8834.2,CarImp,ProfExe,7.0,0.0,0.0,275.03239483,0.0,11.0,43.717635112,2018-02-27,loganville,Georgia,South Atlantic,South
0.0,4900.0,5868.8,6334.8,DebtCon,ProfExe,9.0,0.0,3.0,179.16257471,2.0,31.0,22.544392837,2021-08-01,cleveland,Georgia,South Atlantic,South
0.0,4900.0,6587.3,9040.8,,Mgr,2.0,0.0,0.0,141.85899895,0.0,23.0,37.76961861,2021-09-13,olney,Maryland,South Atlantic,South
1.0,4900.0,2559.7,2303.1,CarImp,Other,5.0,0.0,0.0,101.74676644,0.0,8.0,33.243156978,2019-06-29,west new york,New Jersey,Middle Atlantic,Northeast
0.0,4900.0,6779.4,8463.0,CarImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362,2021-08-03,miami,Florida,South Atlantic,South
1.0,4900.0,4400.0,5974.5,CarImp,Other,10.0,0.0,0.0,81.5,3.0,13.0,,2020-12-19,webb,Alabama,East South Central,South
0.0,4900.0,,2843.75,CarImp,,,,,,,,,2018-01-17,oklahoma city,Oklahoma,West South Central,South
0.0,4900.0,17098.6,24530.0,DebtCon,Sales,,0.0,0.0,131.93333333,0.0,22.0,,2019-06-03,winter park,Florida,South Atlantic,South
1.0,4900.0,6557.6,6577.4,CarImp,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.590910018,2019-02-19,little falls,Minnesota,West North Central,Midwest
0.0,4900.0,5746.1,6849.4,DebtCon,ProfExe,8.0,0.0,4.0,183.63561323,0.0,30.0,22.795423552,2018-07-01,oregon,Wisconsin,East North Central,Midwest
0.0,4900.0,,6970.6,,,,,,,,,33.705587738,2018-10-28,waverly,Ohio,East North Central,Midwest
0.0,5000.0,,3484.6,CarImp,,,,,,,,33.354652626,2020-10-25,watervliet,New York,Middle Atlantic,Northeast
0.0,5000.0,4747.9,6169.0,DebtCon,,5.0,,0.0,65.032969007,,16.0,36.699414922,2019-03-25,augusta,Maine,New England,Northeast
0.0,5000.0,6683.9,8716.8,CarImp,Other,4.0,0.0,0.0,122.59722258,0.0,15.0,40.616779346,2021-10-17,wittman,Maryland,South Atlantic,South
0.0,5000.0,1245.7,5344.8,CarImp,Self,,0.0,0.0,207.14348133,0.0,12.0,44.107951691,2017-01-01,north tonawanda,New York,Middle Atlantic,Northeast
0.0,5000.0,9005.9,11371.4,CarImp,ProfExe,7.0,0.0,0.0,193.63644686,0.0,28.0,25.897316482,2017-03-24,norwell,Massachusetts,New England,Northeast
1.0,5000.0,2232.0,3490.0,CarImp,Other,10.0,0.0,0.0,65.7,1.0,5.0,,2019-09-15,hawthorne,New Jersey,Middle Atlantic,Northeast
1.0,5000.0,4000.0,7050.0,CarImp,Mgr,0.4,0.0,0.0,61.766666667,2.0,8.0,,2018-11-10,oak park,Illinois,East North Central,Midwest
1.0,5000.0,10088.2,10270.0,CarImp,Mgr,5.0,0.0,1.0,58.866666667,0.0,16.0,,2019-12-05,hobe sound,Florida,South Atlantic,South
1.0,5000.0,3100.0,4735.0,CarImp,ProfExe,12.0,,,,,,,2018-11-09,cove city,North Carolina,South Atlantic,South
1.0,5000.0,6312.5,12650.0,CarImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,,2020-02-03,holland,Ohio,East North Central,Midwest
1.0,5000.0,10000.0,12969.35,CarImp,Mgr,13.0,,,,,,,2021-12-28,hanford,California,Pacific,West
1.0,5000.0,,13200.0,CarImp,Other,17.5,0.0,2.0,121.9,0.0,14.0,,2020-10-12,winter park,Florida,South Atlantic,South
1.0,5000.0,,910.0,CarImp,Other,1.0,0.0,0.0,54.733333333,2.0,8.0,,2018-08-06,hamilton,Virginia,South Atlantic,South
1.0,5000.0,3420.0,5083.0,CarImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,,2018-11-24,los angeles,California,Pacific,West
1.0,5000.0,,7127.7,CarImp,Other,10.0,0.0,0.0,72.433333333,1.0,12.0,,2020-09-16,maryville,Tennessee,East South Central,South
1.0,5000.0,12300.0,15750.0,CarImp,Mgr,9.0,,,,,,,2019-09-07,waynesboro,Virginia,South Atlantic,South
1.0,5000.0,1660.0,2525.0,CarImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,,2018-02-27,hinckley,Ohio,East North Central,Midwest
1.0,5000.0,,5200.0,CarImp,Other,,0.0,1.0,285.33333333,0.0,6.0,,2017-06-30,hopkinsville,Kentucky,East South Central,South
1.0,5000.0,2270.0,3422.5,CarImp,Other,4.0,0.0,0.0,74.633333333,3.0,9.0,,2019-09-03,madison,Mississippi,East South Central,South
1.0,5000.0,600.0,3857.5,CarImp,Self,7.0,0.0,1.0,335.03333333,3.0,42.0,,2019-11-11,waxahachie,Texas,West South Central,South
1.0,5000.0,,7450.0,CarImp,Other,19.0,,,,,,,2018-12-23,west covina,California,Pacific,West
1.0,5000.0,,9411.9,CarImp,Other,19.0,,,,,,,2017-10-08,aumsville,Oregon,Pacific,West
0.0,5000.0,7312.6,8750.0,DebtCon,Other,1.0,0.0,0.0,125.96666667,2.0,10.0,,2019-10-11,oregon,Wisconsin,East North Central,Midwest
0.0,5000.0,7251.7,8625.0,DebtCon,Mgr,19.0,0.0,1.0,300.36666667,1.0,24.0,,2020-08-16,west harrison,New York,Middle Atlantic,Northeast
0.0,5000.0,2603.7,3500.0,CarImp,ProfExe,12.0,0.0,0.0,182.63333333,0.0,13.0,,2021-09-07,westminster,Colorado,Mountain,West
0.0,5000.0,3900.0,5034.0,CarImp,Office,10.0,,,179.83333333,,19.0,,2017-01-21,holland,Michigan,East North Central,Midwest
0.0,5000.0,,2655.0,DebtCon,Other,1.7,0.0,0.0,276.96666667,1.0,14.0,,2019-12-21,north tonawanda,New York,Middle Atlantic,Northeast
0.0,5000.0,7047.0,7790.8,DebtCon,,5.0,,,,,,,2019-04-07,oakland,Maine,New England,Northeast
0.0,5000.0,,3637.5,CarImp,Other,3.0,0.0,0.0,266.8,1.0,26.0,,2020-03-07,wheeling,Illinois,East North Central,Midwest
0.0,5000.0,7422.5,8964.0,DebtCon,ProfExe,0.3,,,,,,,2018-12-21,buffalo,Missouri,West North Central,Midwest
0.0,5000.0,,6540.0,CarImp,Office,1.5,0.0,0.0,51.766666667,0.0,4.0,,2019-10-13,new orleans,Louisiana,West South Central,South
1.0,5000.0,,3750.0,CarImp,Other,,0.0,3.0,107.13333333,10.0,5.0,,2019-01-08,oreland,Pennsylvania,Middle Atlantic,Northeast
